ID,NAME,INDUSTRY,GENRE,LANGUAGE,DURATION,RATING
1,Bahubali,Tollyhood,Action,Telegu,170,9.5
2,Brahmastra,Bollywood,Mystereous,Hindi,180,5
3,URI-The Surgical strike,Bollywood,Action,Hindi,120,10
4,DDLJ,Bollywood,Romantic,Hindi,150,10
5,AVENGERS-The End game,Hollywood,Action,English,180,9
6,Tenet,Hollywood,SciFi,English,150,8.5
7,Major,Bollywood,Action,Hindi,140,8
8,Intersteller,Bollywood,SciFi,Hindi,190,7
9,Gravity,Hollywood,SciFi,English,130,6
10,Titanic,Hollywood,Drama,English,180,9
11,Yeh Jawani Hai Deewani,Bollywood,Romantic,Hindi,150,5
12,Houseful,Bollywood,Comedy,Hindi,150,6
13,The Dictator,Hollywood,Comedy,English,120,7
14,Hera pheri,Bollywood,Comedy,Hindi,140,9
15,Sholay,Bollywood,Drama,Hindi,150,8.5
